Time,Levels(ft),Inflows(Cs),Disch(Cs)
2000.738,1646.65,14814,21071
2000.74,1646.37,14776,19784
2000.743,1646.02,13344,19603
2000.746,1645.69,13064,18969
2000.749,1645.41,12563,17571
2000.751,1645.14,12758,17588
2000.754,1644.88,12966,17614
2000.757,1644.61,12747,17575
2000.76,1644.34,12823,17653
2000.762,1644.08,12951,17600
2000.765,1643.85,13593,17706
2000.768,1643.65,13865,17441
2000.77,1643.38,12717,17546
2000.773,1643.1,12592,17600
2000.776,1642.76,11521,17600
2000.779,1642.45,11486,17030
2000.781,1642.18,11148,15977
2000.784,1641.96,11721,15658
2000.787,1641.75,12202,15958
2000.79,1641.42,10226,16127
2000.792,1641.12,9634,15000
2000.795,1640.81,9404,14947
2000.798,1640.5,9615,15159
2000.801,1640.22,9940,14947
2000.803,1639.95,10303,15053
2000.806,1639.68,10615,15000
2000.809,1639.4,10400,14947
2000.811,1639.11,10396,15107
2000.814,1638.83,10507,15053
2000.817,1638.53,10293,15165
2000.82,1638.65,10618,15166
2000.822,1637.99,9811,14136
2000.825,1637.62,9417,15426
2000.828,1637.29,9629,14989
2000.831,1636.84,9747,17053
2000.833,1636.42,10374,17195
2000.836,1635.91,10372,18659
2000.839,1635.4,10325,18607
2000.842,1634.88,9895,18340
2000.844,1634.36,10055,18500
2000.847,1633.84,10052,18500
2000.85,1633.3,9676,18447
2000.852,1632.73,9245,18500
2000.855,1632.14,8865,18447
2000.858,1631.51,8478,18713
2000.861,1630.9,8382,18287
2000.863,1630.27,8268,18500
2000.866,1629.62,7833,18393
2000.869,1629,8323,18393
2000.872,1628.35,7945,18500
2000.874,1627.7,7941,18500
2000.877,1627.03,7565,18447
2000.88,1626.38,7532,18087
2000.883,1625.7,7108,18155
2000.885,1625,7179,18548
2000.888,1624.26,6581,18597
2000.891,1623.53,6841,18700
2000.893,1622.81,6415,18107
2000.896,1622.07,6578,18596
2000.899,1621.33,6574,18597
2000.902,1620.6,6550,18403
2000.904,1619.83,6361,18597
2000.907,1619.06,7074,18355
2000.91,1618.28,7217,18645
2000.913,1617.49,7028,18597
2000.915,1616.74,7261,18250
2000.918,1616.02,6952,17500
2000.921,1615.3,6854,17403
2000.923,1614.55,6464,17452
2000.926,1613.77,6125,17548
2000.929,1612.99,6072,17500
2000.932,1612.22,6122,17403
2000.934,1611.43,5975,17549
2000.937,1610.66,6075,17355
2000.94,1609.87,5929,17500
2000.943,1609.55,5487,17500
2000.945,1608.24,5631,17500
2000.948,1607.43,5633,17500
2000.951,1606.62,5632,17500
2000.954,1605.8,5491,17500
2000.956,1604.96,5602,17909
2000.959,1604.11,5548,18000
2000.962,1603.26,5401,17855
2000.964,1602.35,5188,18520
2000.967,1601.46,5465,18500
2000.97,1600.58,5654,18547
2000.973,1599.65,5746,18445
2000.975,1598.75,5994,18203
2000.978,1597.85,6291,18107
2000.981,1596.98,6690,18111
2000.984,1596.06,6314,18392
2000.986,1595.12,6007,18348
2000.989,1594.17,5828,18300
2000.992,1593.23,5819,18160
2000.995,1592.28,5735,18207
2000.997,1591.26,4673,18069
2001,1590.3,4509,17110
2001.003,1589.72,7420,15037
2001.005,1588.93,5802,16173
2001.008,1588.21,6007,15460
2001.011,1587.45,6069,16048
2001.014,1586.64,5416,16049
2001.016,1585.83,5414,16048
2001.019,1584.96,4579,16000
2001.022,1584.08,4494,16048
2001.025,1583.22,4710,16000
2001.027,1582.35,4446,15868
2001.03,1581.48,4157,15580
2001.033,1580.61,4034,15455
2001.036,1579.76,4747,15530
2001.038,1578.93,5119,14714
2001.041,1578.07,5295,15237
2001.044,1577.23,5192,14903
2001.047,1576.37,5252,15194
2001.049,1575.51,4961,14903
2001.052,1574.63,4779,14952
2001.055,1573.74,4710,15000
2001.058,1572.85,4384,14672
2001.06,1571.94,4433,14954
2001.063,1571.03,4666,15185
2001.066,1570.15,4826,15000
2001.068,1569.26,4481,14769
2001.071,1568.29,4062,15277
2001.074,1567.36,4065,14815
2001.077,1566.4,3993,15092
2001.079,1565.44,3949,15047
2001.082,1564.49,3878,14861
2001.085,1563.49,3880,15440
2001.088,1562.41,3515,16000
2001.09,1561.33,3608,16093
2001.093,1560.32,3547,15224
2001.096,1559.21,3661,15047
2001.099,1558.19,4848,14773
2001.101,1557.1,4759,15365
2001.104,1556.06,4788,14908
2001.107,1554.98,4445,14954
2001.11,1553.85,4097,15092
2001.112,1552.72,3866,14861
2001.115,1551.57,3856,15047
2001.118,1550.46,3804,14602
2001.121,1549.54,4248,13203
2001.123,1548.66,4335,12892
2001.126,1547.76,4291,13048
2001.129,1546.82,3901,13048
2001.132,1545.88,3805,12952
2001.134,1544.94,3805,12952
2001.137,1544.01,3805,12854
2001.14,1543.06,3806,13049
2001.142,1542.12,3854,13000
2001.145,1541.17,3803,13048
2001.148,1540.24,3951,13000
2001.151,1539.25,4643,12763
2001.153,1538.31,6034,13286
2001.156,1537.32,5557,13193
2001.159,1536.34,5446,13000
2001.162,1535.34,5335,13049
2001.164,1534.36,5343,12903
2001.167,1533.32,5026,13048
2001.17,1532.24,4819,13149
2001.173,1531.15,4591,13000
2001.175,1530.08,4800,13051
2001.178,1529.04,4981,13000
2001.181,1527.97,4694,12949
2001.184,1526.87,4565,13051
2001.186,1525.76,4439,13000
2001.189,1524.62,4155,12949
2001.192,1523.46,4057,13000
2001.195,1522.29,3975,13000
2001.197,1521.14,4078,12948
2001.2,1519.98,4032,12952
2001.203,1518.71,4984,13000
2001.205,1517.58,5818,12951
2001.208,1516.38,5469,13049
2001.211,1515.17,5362,13000
2001.214,1513.92,5013,12903
2001.216,1512.69,5188,12951
2001.219,1511.51,5503,12952
2001.222,1510.44,6292,13048
2001.225,1509.25,5437,12952
2001.227,1508.09,5726,13048
2001.23,1506.91,5649,13097
2001.233,1505.65,5047,13000
2001.236,1504.35,4697,12903
2001.238,1503.23,5973,13049
2001.241,1502.37,7464,12903
2001.244,1501.84,9655,13000
2001.247,1501.05,6934,11921
2001.249,1500.44,5746,9597
2001.252,1499.8,5805,9730
2001.255,1499.2,6111,9557
2001.258,1498.7,6768,9643
2001.26,1498.11,6167,9557
